StationName,lon,lat,Dist,Region
Nalerigu,-0.3667,10.5333,East Mamprusi,Upper East
Nandom,-2.75,10.85,Nandom,Upper East
Nangodi,-0.65,10.8667,Nabdam,Upper East
Nankese,-0.3833,6.1,Suhum,Eastern 
Nankpanduri,-0.1833,10.6333,Bumkpurugu-Nakpanduri,North East
Nante,-1.7333,7.9667,Kintampo South,Bono East
Nasia,-0.8,10.15,Gazeb,Na
Natriku,0.1167,6.1167,Akuse,Eastern 
Navrongo,-1.0832,10.8784,Kassena- Nankana,Upper East
Nawchugu,-0.0833,10.0667,Gushegu Municipal,Northern
Nchira,-1.9833,7.8833,Wenchi Municipal,Bono
New Ayoma,0.5833,7.2833,Kukurantumi,Eastern 
New Longoro,-2.0333,8.15,Kintampo South,Bono East
New Ningo,0.1667,5.7333,New Ningo,Greater  Accra
New Somanya,-0.0167,6.1,Yilo Krobo,Eastern
Nkawie,-1.6667,6.6667,Atwima Nwabiagya North,Ashanti 
Nkawkaw,0.5167,8.2667,Nkwanta South,Oti 
Nkawkaw,-0.7667,6.55,Kwahu,Eastern 
Nkawkubew,0.1667,6.45,Asuogyaman,Eastern 
Nkinkanso,-1.8833,7.3,Offinso North,Ashanti
Nkonya Ahenkro,0.3167,7.1167,Biakoye,Oti 
Nkoranza,-1.7167,7.5667,Nkoranza,Bono East
Nkroful,-2.3232,4.9667,Ellembelle,Western 
Nkwanta No. 1,-2.35,5.4,Nkwanta,Oti 
Nsawam,-0.35,5.8167,Nsawan-Aoagyire Minicipal,Eastern 
Nsawkaw,-2.3167,7.8667,Tain,Bono
Nsoatre,-2.4667,7.4,Sunyani West,Bono
Nsuaem-Kadadwene,-2.0333,5,Tarkwa Nsuaem Municipal,Western 
Nsukawkaw,0.3333,7.7167,Krachi East Municipal,Oti 
Nsuta,-1.3667,7.0167,Sekyere Central,Ashanti 
Ntoabema,0.0333,7.2333,Sene East,Bono East 
Ntonso,-1.5167,6.8333,Kwabre East,Ashanti 
Ntotroso,-2.3167,7.0667,Asutifi North,Ahafo 
Ntronang,-1.0833,6.3333,New Abirem,Eastern 
Nungua,-0.0833,5.5833,Gulf Of Guinea,Na
Nungua,-0.0833,5.5833,Gulf Of Guinea,Na
Nyakrom,-0.7833,5.6,Agona West Municipal,Central 
Nyamoase,-0.9167,7.9,Atebubu-Amantin,Bono East 
Nyankpala,-0.9667,9.4,Tolon,Savanna 
Nyankpala,-0.9667,9.4,Tolon,Savanna 
Nyanyanu,-0.4,5.4667,Gomoa East,Central 
Nyinahin,-2.1167,6.6,Atwima Mponua,Ashanti 
Obo-Kwahu,-0.8167,6.6,Kwahu South,Eastern 
Obuasi,-1.6667,6.2,Obuasi Municipal,Ashanti 
Obuasi,-1.6667,6.2,Obuasi Municipal,Ashanti 
Obuasi  Ashanti,-1.6667,6.2,Obuasi Municipal,Ashanti 
Obuasi Dankyira,-2.05,6.1,Obuasi Municipal,Ashanti 
Obutu,-0.5,5.5,Gomoa East,Central 
Odumase/Kunadukrom,0.2333,6.8833,North Dayi,Volta
Odumasi,-0.2,5.9667,Akwapem North,Eastern
Offinso,-1.65,6.9,Kwabre East / Offinso,Ashanti 
Ogoli,0.1,6.1833,Asuogyaman,Eastern 
Ohawu,0.9,6.1333,Ketu North,Volta 
Ohiamankyene,-0.1,7.9833,Krachi West,Volta 
Oketsew,-0.6167,5.6333,Awutu Senya,Central 
Onuku,-0.3167,6.4667,Somanya / Fanteakwa,Eastern 
Opon Valley,-1.85,5.7,Wassa Amenfi East,Western 
Oponsokese,-1.8,5.7667,Upper Denkyira East Municipal,Central 
Osenase,-0.75,5.95,West Akim Municipal,Eastern 
Oshiyie,-0.15,5.7333,Adenta Municipal,Greater Accra
Osino,-0.4833,6.35,Fanteakwa South,Eastern 
Osino,-0.4833,6.35,Fanteakwa South,Eastern 
Osu Presby,-0.1863,5.555,Klorley Klotey Municipal,Greater Accra
Osu-Accra,-0.1833,5.55,Klorley Klotey Municipal,Greater Accra
Osudoku,0.1833,6.0167,Shai Osudoku,Greater Accra
Otumi,-0.9,6.2167,Kwaebibirem,Eastern 
Owabi,-1.7167,6.75,Owabi,Ashanti 
Owuram,-0.6,5.9333,West Akim,Eastern 
Oyarifa,-0.1833,5.7333,Pantang West,Greater Accra
Oyoko,-0.3,6.1333,New Juaben North Municipal,Eastern 
Paga,-1.1,10.9667,Kasena Nankana West,Upper East 
Pakyi,-1.6833,6.55,Amansie West,Ashanti 
Palbe,-0.55,9.1,North East Gonja,Northern 
Pankese,0.51,6.31,Glinyigbatakpo ( Ahorlikope),Volta 
Papasi,0.5,7.6667,Kadjebi,Oti 
Peki Blengo,0.2333,6.5333,South Dayi,Volta 
Pion,-0.0667,9.6167,Yendi,Northern 
Poano,-1.6833,6.4333,Bekwai Municipal,Ashanti 
Pokoase,-0.2833,5.6833,Ga West Municipal,Greater Accra
Pokoase,-0.2833,5.6833,Ga West Municipal,Greater Accra
Pokukrom,-1.95,7,Fawaman,Ashanti 
Pomadze,-0.2333,5.9167,Effutu Municipal,Central 
Pong Tamale,-0.8333,9.6667,Savelugu-Nanton,Northern 
Pore,0.2,6.3,North Tongu,Volta 
Potsin,-0.6,5.45,Gomoa,Central 
Prang,-0.8833,7.9833,Pru East,Bono East 
Prestea,-2.15,5.4333,Prestea- Huni Valley,Western 
Prestea SHTS,-2.1339,5.4469,Prestea- Huni Valley,Western 
Pretsea,-1.8667,4.9333,Prestea- Huni Valley,Western 
Primase,-0.3,7.7833,Sene East,Bono East 
Princes Town,-2.1333,4.8,Ahanta West Municipal,Western 
Pusiga,-0.1167,11.0833,Pusiga,Upper East 
Pute,0.5333,5.7833,Ada East,Greater Accra
Pwalugu,-0.85,10.6,Pwalagu,Upper East 
Saboba,0.3,9.7167,Saboba,Northern 
Saboba,-0.3,9.7167,Saboba,Northern 
Sakogu,-0.2667,10.5833,East Mamprusi,Northern East 
Salaga,-0.5167,8.55,Salaga,Savanna 
Saltpond,-1.0667,5.2,Saltpond,Central 
Samanhiya,-0.1667,7,Somanhyia,Eastern 
Samoa,-2.5833,10.8333,Lambussie-Karni,Upper West 
Sampa,-2.7,7.95,Sampa,Bono 
Samreboi,-2.5667,5.6,Amenfi West Municipal,Western 
Sandema,-1.2833,10.7333,Builsa North,Upper East 
Sankpala,-1.0167,9.2333,Central Gonja,Northern 
Sasekpe,0.6167,6.2667,Central Tongu,Volta 
Savelugu,-0.8333,9.6,Savelugu-Nanton,Northern 
Sawla,-2.4167,9.2833,Sawla-Tuna-Kalba,Savanna 
Sefwi  Wiawso,-2.4833,6.2,Sefwi - Wiawso,Western 
Sefwi  Wiawso,-2.4833,6.2,Sefwi - Wiawso,Western 
Sefwi Bekwai,-2.3211,6.1965,Bibiani Anhwiase Bekwai,Western
Sefwi Wiawso,-2.4833,6.2,Sefwi - Wiawso,Western North
Sege,0.35,5.85,Ningo Prampram,Greater Accra
Seikwa,-2.5167,7.7167,Tain,Bono
Sekesua,-1.3333,6.3,Bosome Freho,Ashanti
Sekodumasi,-1.5833,7.3,Ejura-Sekyedumase,Ashanti
Sekondi,-1.7167,4.95,Sekondi-Takoradi Metro,Western
Senchi,0.0833,6.2,Asuogyaman,Eastern
Senya Bereku,-0.4833,5.3833,Awutu�Senya,Central
Sese,-1.9167,4.85,Ahanta West Municipal,Western
Shai Hills,0.0333,5.8833,Shai Osudoku,Greater Accra
Shia,0.5667,6.8,Ho Municipal,Volta
Shiare,-2.1,5.1,Tarkwa Nsuaem,Western
Simpa,-2.56667,5.55,Tarkwa Nsuaem Minicipal,Western
Sogakope,0.6,6,South Tongu,Volta
Sokode Bagble,0.3833,6.5667,Ho West,Volta
Somanya,-0.0167,6.1,Yilo Krobo,Eastern
Somanya,-0.0167,6.1,Yilo Krobo,Eastern
Sovie,0.3,6.9333,Kpando Municipal,Volta
Srogboe,0.8333,5.7833,Keta Municipal,Volta
Subri,-1.75,5.5333,Wassa East,Western
Subriso,-0.0167,7.3,Sene East,Bono East
Suhia Asikuma,-0.45,7.1833,Sekyere Afram Plains North,Ashanti
Suhum,-0.45,6.0333,Suhum Minicipal,Eastern
Suku Suku,-2.15,5.0333,Nzema East,Western
Sunyani,-2.3333,7.3333,Sunyani Minicipal,Bono
Sunyani,-2.3333,7.3333,Sunyani Minicipal,Bono
Sunyani,-2.3333,7.3333,Sunyani Minicipal,Bono
Sunyani,-2.3299,7.3592,Sunyani Minicipal,Bono
Tadzewu,0.9,6.1833,Ketu North,Volta
Tafo,-0.3667,6.2167,Abuakwa North,Eastern
Tafo Kwahu,-0.6667,6.65,Kwahu South,Eastern
Takinta Camp,-2.8,5.05,Jomoro,Western
Takoradi,-1.7744,4.8935,Sekondi-Takoradi Metro,Western
Takoradi,-1.7665,4.8897,Sekondi-Takoradi Metro,Western
Takoradi,-1.75,4.9,Sekondi-Takoradi Metro,Western
Takrabe,0.4,7.3667,Jasikan,Oti
Tamale,-0.8624,9.5539,Tamale Metropolitan,Northern
Tamale,-0.85,9.4167,Tamale Metropolitan,Northern
Tamale,-0.85,9.4167,Tamale Metropolitan,Northern
Tamale,-0.85,9.4167,Tamale Metropolitan,Northern
Tamatoku,0.5333,5.9,Ada East,Greater Accra
Tanoso,-1.9667,7.45,Techiman Municipal,Bono East
Tarkwa-U.M.A.T.,-1.9833,5.3,Tarkwa Nsuaem Minicipal,Western
Tease,-0.2667,6.9333,Kwahu Afram Plains South,Eastern
Techiman,-1.9333,7.5667,Techiman Municipal,Bono East
Tema,0,5.6167,Afigya Kwabre,Ashanti
Tema,0.0016,5.6323,Tema Metropolitan,Greater Accra
Tepa,-2.1833,7.0167,Ahafo Ano North,Ashanti
Teteman,0.5091,7.3047,Jasikan,Oti
Tetrim,-1.6333,7.0333,Afigya Kwabre North,Ashanti
Tikobo,-2.5333,5.0833,Jomoro,Western
Tinkong,-0.2333,5.9833,Akwapem North,Eastern
Tolon,-1.0667,9.4167,Tolon,Northern
Tonkaw (Tongor),0.1833,6.6167,South Dayi,Volta
Tono,-1.1667,10.85,Builsa North,Upper East
Trumiso,-2.15,7.55,Wenchi Municipal,Bono
Tsito,0.2833,6.5333,Tsito,Volta
Tsito,0.2833,6.5333,Tsito,Volta
Tugu,-0.6,9.3667,Tamale Metropolitan,Northern
Tumu,-1.9833,10.8667,Tumu,Upper West
Tuna,-2.4167,9.4833,Sawla-Tuna-Kalba,Savannah
Tutukpene,0.4,8.1,Nkwanta South Municipal,Oti
Twifo Praso,-1.55,5.6,Twifo Atti Morkwa,Central
Twifo Praso,-1.55,5.6,Twifo Atti Morkwa,Central
Vea,-0.85,10.8667,Na,Upper East
Vere,-2.6,9.9333,Wa West,Upper West
Volo,0.3,6.0667,North Tongu,Volta
Wa,-2.5,10.05,Wa Municipal,Upper West
Walembele,-1.9667,10.5,Ellembelle,Western
Walewale,-0.8,10.35,Mamprusi West Municipal,North East
Wamfie,-2.7,7.3,Dormaa East,Bono
Wapuli,0.1,9.1833,Mion,Northern
Wawjawga,0.3333,10.2167,Saboba,Northern
Wechiau,-2.6833,9.8333,Wa West,Upper West
Weija,-0.35,5.5667,Ga South,Greater Accra
Weija,-0.4,5.55,Ga South,Greater Accra
Weija-Accra,-0.3422,5.5714,Gbawe Municipal,Greater Accra
Wenchi,-2.1,7.75,Wenchi Municipal,Bono
Wiaga,-1.2667,10.65,Builsa North,Upper East
Wiawso,-2.0333,6.9167,Ahafo Ano South West,Ashanti
Winneba,-0.6167,5.3333,Effutu Municipal,Central
Winneba,-0.6167,5.3333,Effutu Municipal,Central
Winneba,-0.6167,5.3333,Effutu Municipal,Central
Worawora,0.3667,7.5167,Biakoye,Oti
Workpe,0.45,6.2167,Central Tongu,Volta
Wurinyaga,-0.0667,10.9,Tempane,Upper East
Wurupong,0.3333,7.1833,Jasikan,Volta
Wusuta,0.25,6.8333,Anfoega,Volta
Yapei,-1.15,9.15,Central Gonja,Savannah
Yeji,-0.65,8.2167,Pru East,Bono East
Yendi,-0.0167,9.45,Yendi,Northern
Yendi,-0.0167,9.45,Yendi,Northern
Yendi,-0.0167,9.45,Yendi,Northern
Zabzungu,0.3833,9.2833,Zabzugu,Northern
Zan,-0.2667,9.4167,Mion,Northern
Zawse Bawku,-0.3,11.05,Bawku Municipal,Upper East
Ziope,0.75,6.4167,Ziope,Volta
Zomayi (Zuma),0.3833,6.1167,North Tongu,Volta
Zongo Macheri,-0.1167,8.25,Krachi Nchumuru,Oti
Zongori,-0.4167,10.6667,Bawku West,Upper East
Zuarungu,-0.8,10.7833,Bolga East,Upper East
